RAZAO SOCIAL;Nome para Indicador
BOULEVARD DISTRIBUIDORA LTDA.;BOULEVARD DISTRIBUIDORA LTDA.
BOXFLEX COMPONENTES PARA CALCADOS LTDA - BOXFLEX;BOXFLEX COMPONENTES PARA CALCADOS LTDA
BP INTERWAYS COMERCIO E REPRESENTACAO INTERNACIONAL LTDA;BP INTERWAYS
BR COMPRESSORES SERVICE LTDA  ;BR COMPRESSORES SERVICE LTDA  
BR8 Comercio Importacao e Exportacao LTDA   - BRW Sports Group ;BR8 Comercio Importacao e Exportacao LTDA   - BRW Sports Group 
BRACELL SP CELULOSE LTDA;BRACELL SP CELULOSE LTDA
BRAGA COMERCIO - BRAGA COMERCIO E INDUSTRIA LTDA;BRAGA COMERCIO E INDUSTRIA LTDA
BRALYX MAQUINAS INDUSTRIA E COMERCIO LTDA;BRALYX MAQUINAS INDUSTRIA E COMERCIO LTDA
BRAMAGRAN - BRAMAGRAN - BRASILEIRO MARMORE E GRANITO LTDA;BRAMAGRAN MARMORE E GRANITO LTDA
BRAMAGRAN - BRAMAGRAN MARMORE E GRANITO LTDA;BRAMAGRAN MARMORE E GRANITO LTDA
BRASALPLA - BRASALPLA BRASIL - INDUSTRIA DE EMBALAGENS LTDA;BRASALPLA BRASIL - INDUSTRIA DE EMBALAGENS LTDA
BRASALPLA - BRASALPLA BRASIL - INDUSTRIA DE EMBALAGENS LTDA.;BRASALPLA BRASIL - INDUSTRIA DE EMBALAGENS LTDA
BRASALPLA - BRASALPLA Brasil Industria de Embalagens LTDA;BRASALPLA BRASIL - INDUSTRIA DE EMBALAGENS LTDA
BRASBUNKER PARTICIPACOES S/A;BRASBUNKER PARTICIPACOES S/A
BRASCABOS - BRASCABOS COMPONENTES ELETRICOS E ELETRONICOS LTDA;BRASCABOS - BRASCABOS COMPONENTES ELETRICOS E ELETRONICOS LTDA
BRASELCO EQUIPAMENTOS - BRASELCO COMERCIO DE EQUIPAMENTOS E PARTICIPACOES S/A;BRASELCO COMERCIO DE EQUIPAMENTOS E PARTICIPACOES S/A
BRASFIBRA INDUSTRIA E COMERCIO DE DERIVADOS DO COURO LTDA;BRASFIBRA INDUSTRIA E COMERCIO DE DERIVADOS DO COURO LTDA
BRASFOODS EXPORTACAO E IMPORTACAO LTDA;BRASFOODS EXPORTACAO E IMPORTACAO LTDA
BRASGRAPHICS - ACTEC TECNOLOGIA EM CONTROLE DE ACESSOS E IDENTIFICAÇÃO LTDA;BRASGRAPHICS - ACTEC TECNOLOGIA EM CONTROLE DE ACESSOS E IDENTIFICAÇÃO LTDA
BRASIGRAN - BRASIGRAN BRASILEIRA DE GRANITOS LTDA;BRASIGRAN - BRASIGRAN BRASILEIRA DE GRANITOS LTDA
BRASIL DELTA - BRASIL DELTA TECNOLOGIA ELETRONICA LTDA;BRASIL DELTA TECNOLOGIA ELETRONICA LTDA
BRASIL INTERNACIONAL EXPORTADORA LTDA ;BRASIL INTERNACIONAL EXPORTADORA LTDA 
BRASIL KIRIN - BRASIL KIRIN INDUSTRIA DE BEBIDAS S/A;BRASIL KIRIN INDUSTRIA DE BEBIDAS S/A
BRASIL KIRIN - HNK BR INDUSTRIA DE BEBIDAS LTDA.;BRASIL KIRIN INDUSTRIA DE BEBIDAS S/A
BRASIL LOGISTICA    - BRL WORLDWIDE LOGISTICA LTDA   ;BRL WORLDWIDE LOGISTICA LTDA
BRASIL MASTROS IMPO E COM DE MASTROS DE FIBRA DE VIDRO LTDA;BRASIL MASTROS IMPO E COM DE MASTROS DE FIBRA DE VIDRO LTDA
BRASIL MELON - BRAZIL MELON PRODUCAO EXPORTACAO E IMPORTACAO LTDA.;BRAZIL MELON PRODUCAO EXPORTACAO E IMPORTACAO LTDA.
BRASIL PELLET;BRASIL PELLET
BRASIL PELLET - BRASIL PELLET INDUSTRIA E COMERCIO LTDA;BRASIL PELLET
BRASIL TERMINAL PORTUARIO S.A.;BRASIL TERMINAL PORTUARIO S.A.
BRASIL TRANSPORTES E SERVICOS - GLAUBER LEANDRO BOAVENTURA DOS SANTOS - ME;BRASIL TRANSPORTES E SERVICOS - GLAUBER LEANDRO BOAVENTURA DOS SANTOS - ME
BRASILATA S A EMBALAGENS METALICAS;BRASILATA S A EMBALAGENS METALICAS
BRASILGRAFICA - BRASILGRAFICA S/A INDUSTRIA E COMERCIO;BRASILGRAFICA S/A INDUSTRIA E COMERCIO
BRASILSAT HARALD - BRASILSAT HARALD S/A;BRASILSAT HARALD - BRASILSAT HARALD S/A
BRASIMPEX - BRASIMPEX EQUIPAMENTOS ESPORTIVOS E SEGURANCA EIRELI;BRASIMPEX EQUIPAMENTOS ESPORTIVOS E SEGURANÇA LTDA - EPP
BRASIMPEX - BRASIMPEX EQUIPAMENTOS ESPORTIVOS E SEGURANÇA LTDA - EPP;BRASIMPEX EQUIPAMENTOS ESPORTIVOS E SEGURANÇA LTDA - EPP
BRASKEM - BRASKEM S.A;BRASKEM S.A.
BRASKEM - BRASKEM S/A;BRASKEM S/A
BRASKEM S.A.;BRASKEM S.A.
BRASKEM S.A. - BRASKEM S/A;BRASKEM S.A.
BRASMACOL - BRASMACOL INDUSTRIA E COMERCIO LTDA;BRASMACOL INDUSTRIA E COMERCIO LTDA
BRASMEG TRANSPORTES LTDA;BRASMEG TRANSPORTES LTDA
BRASMETAL - WAELZHOLZ BRASMETAL LAMINAÇÃO LDTA;BRASMETAL
BRASMETAL - WAELZHOLZ BRASMETAL LAMINACAO LTDA;BRASMETAL
BRASSOL BRASILIA ALIMENTOS E SORVETE LTDA;BRASSOL ALIMENTOS
BRASTEMA TECNOLOGIA TEXTIL LTDA;BRASTEMA TECNOLOGIA TEXTIL LTDA
BRASTEX - BRASTEX S/A;BRASTEX - BRASTEX S/A
BRASTON COMERCIO E EXPORTACAO DE GRANITOS EIRELI  ;BRASTON COMERCIO E EXPORTACAO DE GRANITOS EIRELI  
BRASTRELA - BRASTRELA IMPORTAÇÃO E EXPORTAÇÃO LTDA;BRASTRELA IMPORTAÇÃO E EXPORTAÇÃO LTDA
BRASUMA COMERCIO DE EQUIPAMENTOS AGROPECUARIOS LTDA.  ;BRASUMA COMERCIO DE EQUIPAMENTOS AGROPECUARIOS
BRAUN - LABORATORIO B BRAUN S/A;BRAUN - LABORATORIO B BRAUN S/A
BRAUN - LABORATORIOS B BRAUN SA;BRAUN - LABORATORIO B BRAUN S/A
BRAVET - LABORATORIO BRAVET LTDA;LABORATORIO BRAVET LTDA
BRAZDI - BRAZDI IMP E EXP COM SERV DE PRODUTOS DE LABORATORIOS LTDA;BRAZDI IMP E EXP COM SERV DE PRODUTOS DE LABORATORIOS LTDA
BRAZIL AUTOPARTS - BRAZIL AUTOPARTS COMERCIO EXTERIOR LTDA;BRAZIL AUTOPARTS - BRAZIL AUTOPARTS COMERCIO EXTERIOR LTDA
BRAZILIAN AERONAUTICAL COMISSION - CENTRO DE TRANSPORTE LOGISTICO DE AERONAUTICA;BRAZILIAN AERONAUTICAL COMISSION - CENTRO DE TRANSPORTE LOGISTICO DE AERONAUTICA
BRAZILLASER INDUSTRIA E COMERCIO LTDA;BRAZILLASER INDUSTRIA E COMERCIO LTDA
BRENNTAG - BRENNTAG QUIMICA BRASIL LTDA.;BRENNTAG - BRENNTAG QUIMICA BRASIL LTDA.
BRF - BRF S.A.;BRF S.A.
BRF S.A.;BRF S.A.
BRF S.A.   ;BRF S.A.
BRG 13 - BRG 13 DISTRIBUIDORA DE GENEROS ALIMENTICIOS LTDA;BRG 13 DISTRIBUIDORA DE GENEROS ALIMENTICIOS LTDA
BRIDGE INDUSTRIA DE PRODUTOS PLASTICOS - BRIDGE IND¿STRIA DE PRODUTOS PL¿STICOS DA AMAZ¿NIA LTDA;BRIDGE INDUSTRIA DE PRODUTOS PLASTICOS DA AMAZONIA LTDA
BRIDGE INDUSTRIA DE PRODUTOS PLASTICOS - BRIDGE INDUSTRIA DE PRODUTOS PLASTICOS DA AMAZONIA LTDA;BRIDGE INDUSTRIA DE PRODUTOS PLASTICOS DA AMAZONIA LTDA
BRIDGE INDUSTRIA DE PRODUTOS PLASTICOS - BRIDGE INDÚSTRIA DE PRODUTOS PLÁSTICOS DA AMAZÔNIA LTDA;BRIDGE INDUSTRIA DE PRODUTOS PLASTICOS DA AMAZONIA LTDA
BRIDGESTONE - BRIDGESTONE DO BRASIL INDUSTRIA E COMERCIO LTDA.;BRIDGESTONE DO BRASIL INDUSTRIA E COMERCIO LTDA
BRIDGESTONE FIRESTONE  - BRIDGESTONE DO BRASIL INDUSTRIA E COMERCIO LTDA.;BRIDGESTONE DO BRASIL INDUSTRIA E COMERCIO LTDA
BRIDGESTONE FIRESTONE  - BRIDGESTONE DO BRASIL INDUSTRIA E COMERCIO LTDA. ;BRIDGESTONE DO BRASIL INDUSTRIA E COMERCIO LTDA. 
BRILHANTE - BRILHANTE TRANSPORTES NACIONAL E INTERNACIONAL LTDA;BRILHANTE TRANSPORTES NACIONAL E INTERNACIONAL LTDA
BRISA INDUSTRIA DE TECIDOS TECNOLOGICOS S.A;BRISA INDUSTRIA DE TECIDOS TECNOLOGICOS S.A
BRITISH AIRWAYS - BRITISH AIRWAYS PLC;BRITISH AIRWAYS PLC
BROCARDO - MADEIREIRA BROCARDO LTDA;MADEIREIRA BROCARDO LTDA
BRONZEARTE  - BRONZEARTE INDUSTRIA E COMERCIO LTDA;BRONZEARTE INDUSTRIA E COMERCIO LTDA
BRONZEARTE INDUSTRIA E COMERCIO LTDA;BRONZEARTE INDUSTRIA E COMERCIO LTDA
BRS SUPRIMENTOS CORPORATIVOS S.A;BRS SUPRIMENTOS CORPORATIVOS S.A
BRS SUPRIMENTOS CORPORATIVOS S.A.;BRS SUPRIMENTOS CORPORATIVOS S.A.
BRUMAGRAN PEDRAS ORNAMENTAIS LTDA;BRUMAGRAN PEDRAS ORNAMENTAIS LTDA
BRUNER - BRUNER IND. E COM. LTDA;BRUNER - BRUNER IND. E COM. LTDA
BRUNO INDUSTRIAL LTDA ;BRUNO INDUSTRIAL LTDA 
BR-X CARGO    - BR-X CARGO LOGISTICA INTERNACIONAL LTDA ;BR-X CARGO
BR-X CARGO - BR-X CARGO LOGISTICA INTERNACIONAL LTDA ;BR-X CARGO
BRX CARGO LOGISTICA INT. LTDA;BRX CARGO LOGISTICA INT. LTDA
BRX IMPORT E EXPORT LTDA;BRX IMPORT E EXPORT LTDA
BS& BSAFETY SYSTEMS LTDA;BS& BSAFETY SYSTEMS LTDA
BS& BSAFETY SYSTEMS LTDA - BS&B SAFETY SYSTEMS LTDA;BS& BSAFETY SYSTEMS LTDA
BS&BSAFETY SYSTEMS LTDA;BS&BSAFETY SYSTEMS LTDA
BUCHER HYDRAULICS - BUCHER HIDRAULICA LTDA.;BUCHER HIDRAULICA LTDA.
BUHLER IND E COM DE EQUIPAMENTOS INDUSTRIAIS LTDA.;BUHLER IND E COM DE EQUIPAMENTOS INDUSTRIAIS LTDA.
BUN TECH TECNOLOGIA EM INSUMOS;BUN TECH TECNOLOGIA EM INSUMOS
BUNDY REFRIGERAÇÃO - BUNDY REFRIGERAÇÃO BRASIL INDÚSTRIA E COMÉRCIO LTDA;BUNDY REFRIGERAÇÃO BRASIL INDÚSTRIA E COMÉRCIO LTDA
BUNDY REFRIGERAÇÃO - BUNDY REFRIGERACAO BRASIL INDUSTRIA E COMERCIO LTDA.;BUNGE ALIMENTOS S/A
BUNGE - BUNGE ALIMENTOS S/A;BUNGE ALIMENTOS S/A
BUNGE ALIMENTOS S/A;BUNGE ALIMENTOS S/A
BUNGE ALIMENTOS S/A ;BUNGE ALIMENTOS S/A 
BUNGE ALIMENTOS S/A  - BUNGE ALIMENTOS S/A;BUNGE ALIMENTOS S/A 
BURNDY - HUBBELL DO BRASIL, INDUSTRIA, COMERCIO, IMPORTACAO E EX;BURNDY - HUBBELL DO BRASIL
BUSCH DO BRASIL LTDA;BUSCH DO BRASIL LTDA
BYCOMEX - BYCOMEX - COMERCIAL IMPORTADORA, EXPORTADORA LTDA;BYCOMEX - COMERCIAL IMPORTADORA, EXPORTADORA LTDA
BYCOMEX - BYCOMEX TRADE ASSESSORIA ADUANEIRA E LOGISTICA - EIRELI;BYCOMEX - COMERCIAL IMPORTADORA, EXPORTADORA LTDA
BYD DO BRASIL - BYD DO BRASIL LTDA.;BYD DO BRASIL LTDA.
BZ - HOBBIES    - FERNANDO CESAR ALMEIDA LAGUARDIA ;BZ - HOBBIES
C M COUTO - C M COUTO SISTEMAS CONTRA INCENDIO LTDA;C M COUTO SISTEMAS CONTRA INCENDIO LTDA
C R W INDUSTRIA E COMERCIO DE PLASTICOS LTDA;C R W INDUSTRIA E COMERCIO DE PLASTICOS LTDA
C S I CARGO LOGISTICA INTEGRAL S/A;C S I CARGO LOGISTICA INTEGRAL S/A 
C S I CARGO LOGISTICA INTEGRAL S/A ;C S I CARGO LOGISTICA INTEGRAL S/A 
C. FERNANDO R. DA PAZ & CIA. LTDA;C. FERNANDO R. DA PAZ & CIA. LTDA
C.B.E. - COMPANHIA BRASILEIRA DE ESTIRENO;C.B.E. - COMPANHIA BRASILEIRA DE ESTIRENO
C.B.F. - CONFEDERACAO BRASILEIRA DE FUTEBOL;C.B.F. - CONFEDERACAO BRASILEIRA DE FUTEBOL
C.B.P.F. - CENTRO BRASILEIRO DE PESQUISAS FISICAS/CBPF;C.B.P.F. - CENTRO BRASILEIRO DE PESQUISAS FISICAS/CBPF
C.C.E.A. CENTRO CULTURAL EURO-AMERICANO - CCEURO CENTRO CULTURAL EURO - AMERICANO SOCIEDADE SIMPLES LTDA;CCEURO CENTRO CULTURAL EURO - AMERICANO SOCIEDADE SIMPLES LTDA
C.C.Q.M. - CCQM COMERCIAL CATARINENSE QUIMICA E METAIS LTDA;CCQM COMERCIAL CATARINENSE QUIMICA E METAIS
C.H. ROBINSON - C.H. ROBINSON WORLDWIDE LOGISTICA DO BRASIL LTDA;C.H. ROBINSON WORLDWIDE LOGISTICA DO BRASIL LTDA
C.H.R. HANSEN - CHR HANSEN INDUSTRIA E COMERCIO LTDA;CHR HANSEN INDUSTRIA E COMERCIO LTDA
C.H.R. HANSEN - CHR HANSEN INDUSTRIA E COMERCIO LTDA.;CHR HANSEN INDUSTRIA E COMERCIO LTDA
C.M.A. C.C.G. - CMA CGM DO BRASIL AGENCIA MARITIMA LTDA;C.M.A. C.C.G. - CMA CGM DO BRASIL AGENCIA MARITIMA LTDA 
C.M.A. C.C.G. - CMA CGM DO BRASIL AGENCIA MARITIMA LTDA ;C.M.A. C.C.G. - CMA CGM DO BRASIL AGENCIA MARITIMA LTDA 
C.M.B. - CASA DA MOEDA DO BRASIL - CMB;C.M.B. - CASA DA MOEDA DO BRASIL 
C.M.B. - CASA DA MOEDA DO BRASIL CMB;C.M.B. - CASA DA MOEDA DO BRASIL 
C.S.T. - CST COMERCIO EXTERIOR S/A;CST COMERCIO EXTERIOR S/A
CAAS DO BRASIL  - CAAS DO BRASIL IMP E COM DE PECAS AUTOMOTIVAS LTDA.   ;CAAS DO BRASIL IMP E COM DE PECAS AUTOMOTIVAS LTDA.   
CABOT - CABOT BR I E C LTDA;CABOT BR I E C LTDA
CABOT - CABOT BRASIL INDUSTRIA E COMERCIO LTDA;CABOT BR I E C LTDA
CADEX COMERCIO EXTERIOR - CADEX COMERCIAL IMPORTADORA E EXPORTADORA LTDA;CADEX COMERCIAL IMPORTADORA E EXPORTADORA LTDA
CAF BRASIL - CAF BRASIL INDUSTRIA E COMERCIO S/A;CAF BRASIL INDUSTRIA E COMERCIO S/A
CAFE GUARIROBA - HOMERO AGUIAR PAIVA;CAFE GUARIROBA - HOMERO AGUIAR PAIVA
CAFÉ IGUAÇU - CIA. IGUACU DE CAFE SOLUVEL;CAFÉ IGUAÇU - CIA. IGUACU DE CAFE SOLUVEL 
CAFÉ IGUAÇÚ - CIA. IGUACU DE CAFE SOLUVEL;CAFÉ IGUAÇÚ - CIA. IGUACU DE CAFE SOLUVEL
CAFÉ IGUAÇU - CIA. IGUACU DE CAFE SOLUVEL ;CAFÉ IGUAÇU - CIA. IGUACU DE CAFE SOLUVEL 
CAIEIRAS INDUSTRIA E COMERCIO DE PAPEIS ESPECIAIS LTDA.;CAIEIRAS IND. E COM. DE PAPEIS ESPECIAIS LTDA
CAJUGRAM - CAJUGRAM GRANITOS E MARMORES DO BRASIL LTDA;CAJUGRAM - CAJUGRAM GRANITOS E MARMORES DO BRASIL LTDA
CAJURU - CAJURU IND. E COM. DE ALIMENTOS LTDA;CAJURU IND. E COM. DE ALIMENTOS LTDA
CAJURU - CAJURU INDUSTRIA E COMERCIO DE ALIMENTOS LTDA;CAJURU IND. E COM. DE ALIMENTOS LTDA
CALCADOS BEIRA RIO S A - CALCADOS BEIRA RIO S/A;CALCADOS BEIRA RIO S A
CALFOR    - ITALBOTAS - INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA   ;CALFOR ITALBOTAS INDUSTRIA
CALIFORNIA TOYS - CALIFORNIA TOY COMERCIO DE ARTIGOS DIVERSOS LTDA.;CALIFORNIA TOYS
CALVI GRANITOS LTDA - EPP;CALVI GRANITOS LTDA - EPP
CALVI GRANITOS LTDA - EPP - CALVI GRANITOS LTDA;CALVI GRANITOS LTDA - EPP
CAMARA MUDAS - MADASCHI, PERIGO & SOUZA LTDA - EPP;CAMARA MUDAS - MADASCHI, PERIGO & SOUZA LTDA 
CAMARGO ALFAIATARIA - LE TAILLEUR COMERCIO DE VESTUARIO S/A;CAMARGO ALFAIATARIA - LE TAILLEUR COMERCIO DE VESTUARIO S/A
CAMBER FARMACEUTICA LTDA.   ;CAMBER FARMACEUTICA LTDA.   
CAMIL  - CAMIL ALIMENTOS S/A ;CAMIL ALIMENTOS S/A 
CAMILA BERETTA DE BARROS;CAMILA BERETTA DE BARROS
CAMILA FERREIRA ALMEIDA MARTINS - CAMILA FERREIRA ALMEIDA MARTINS  ;CAMILA FERREIRA ALMEIDA MARTINS  
CAMILA LOPES DA SILVA;CAMILA LOPES DA SILVA
CAMILA VENDRAMIN BRISQUE;CAMILA VENDRAMIN BRISQUE
CAMISARIA AUGUSTO LTDA;CAMISARIA AUGUSTO LTDA
CAMISARIA VILLAESCUSA LTDA;CAMISARIA VILLAESCUSA LTDA
CAMPO BOM INSUMOS AGRICOLAS LTDA;CAMPO BOM INSUMOS AGRICOLAS
CANADA CENTRAL DE NEGOCIOS DO BRASIL LTDA;CANADA CENTRAL DE NEGOCIOS DO BRASIL LTDA
CANON DO BRASIL INDUSTRIA E COMERCIO LTDA.   ;CANON DO BRASIL INDUSTRIA E COMERCIO LTDA
CANON MEDICAL SYSTEMS DO BRASIL LTDA;CANON MEDICAL SYSTEMS DO BRASIL LTDA
CAPE IGARASSU INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA - CAPE IGARASSU;CAPE IGARASSU
CAPEBE    - COOPERATIVA AGRO PECUARIA DE BOA ESPERANCA LTDA   ;CAPEBE
CAPITAL TRADE - CAPITAL TRADE IMPORTACAO E EXPORTACAO LTDA;CAPITAL TRADE IMPORTAÇAO E EXPORTAÇAO LTDA
CAPITAL TRADE - CAPITAL TRADE IMPORTAÇAO E EXPORTAÇAO LTDA;CAPITAL TRADE IMPORTAÇAO E EXPORTAÇAO LTDA
CAPITALLOG LOGISTICA LTDA;CAPITALLOG LOGISTICA LTDA
CAPUANI DO BRASIL LTDA;CAPUANI DO BRASIL LTDA
CAPUAVA ENERGY LTDA.;CAPUAVA ENERGY LTDA
CARAMURU - CARAMURU ALIMENTOS S/A.;CARAMURU - CARAMURU ALIMENTOS S/A.
CARAVAN - CARAVAN EXPORTAÇÃO IMPORTAÇÃO DO BRASIL LTDA;CARAVAN EXPORTAÇÃO IMPORTAÇÃO DO BRASIL LTDA
CARBETO DE SILICIO SIKA BRASIL LTDA;FIVEN BRASIL / CARBETO
CARBONO LORENA - MERSEN DO BRASIL LTDA.;CARBONO LORENA - MERSEN DO BRASIL LTDA.
CARBONOR S.A.  ;CARBONOR S.A.  
CARBONVIX INDUSTRIA E COMERCIO DE PRODUTOS CARBONOSOS LTDA   ;CARBONVIX 
CARGILL - CARGILL AGRICOLA S A;CARGIL AGRÍCOLA
CARGILL - CARGILL AGRICOLA S.A;CARGIL AGRÍCOLA
CARGILL AGRICOLA  - CARGILL AGRICOLA S A  ;CARGIL AGRÍCOLA
CARGILL AGRICOLA S A;CARGIL AGRÍCOLA
CARGILL AGRICOLA S A  ;CARGIL AGRÍCOLA
CARGILL AGRICOLA S A   ;CARGIL AGRÍCOLA
CARGILL AGRICOLA S.A;CARGIL AGRÍCOLA
CARGILL AGRICOLA S.A - CARGILL AGRICOLA S A;CARGIL AGRÍCOLA
CARGILL AGRICOLA S/A - CARGILL AGRICOLA S A;CARGIL AGRÍCOLA
CARGILL AGRICOLA SA;CARGIL AGRÍCOLA
CARGILL NOVOS HORIZONTES LTDA;CARGIL AGRÍCOLA
CARGOFAST LOGISTICS DO BRASIL LTDA.;CARGOFAST LOGISTICS DO BRASIL LTDA.
CARGOLOG -  Transporte - CARGOLOG SOLUCOES LOGISTICAS LTDA;CARGOLOG SOLUÇÕES LOGÍSTICAS LTDA.
CARGOLOG - CARGOLOG SOLUCOES LOGISTICAS LTDA;CARGOLOG SOLUÇÕES LOGÍSTICAS LTDA.
CARGOLOG SOLUÇÕES LOGÍSTICAS LTDA.;CARGOLOG SOLUÇÕES LOGÍSTICAS LTDA.
CARGOLOG SOLUÇÕES LOGÍSTICAS LTDA. - Transporte - CARGOLOG SOLUÇÕES LOGÍSTICAS LTDA.;CARGOLOG SOLUÇÕES LOGÍSTICAS LTDA
CARGONET - CARGONET LOGISTICA DO BRASIL LTDA;CARGOLOG SOLUÇÕES LOGÍSTICAS LTDA.
CARGOWORKS DO BRASIL LTDA. - CARGOWORKS DO BRASIL LTDA;CARGOWORKS DO BRASIL LTDA
CARISMA COMERCIAL - CARISMA COMERCIAL LTDA.;CARISMA COMERCIAL LTDA
CARISMA COMERCIAL LTDA. ;CARISMA COMERCIAL LTDA
CARISMA COMERCIAL LTDA.  - CARISMA COMERCIAL LTDA.;CARISMA COMERCIAL LTDA
CARL ZEISS - CARL ZEISS DO BRASIL LTDA;CARL ZEISS DO BRASIL LTDA
CARL ZEISS - CARL ZEISS VISION BRASIL INDUSTRIA OPTICA LTDA;CARL ZEISS VISION BRASIL INDUSTRIA OPTICA LTDA
CARL ZEISS DO BRASIL LTDA;CARL ZEISS DO BRASIL LTDA
CARLOS A WANDERLEY E FILHOS IMP E EXP COM REPRES LTDA;CARLOS A.WANDERLEY & FILHOS-IMP.EXP.COM.REPR.LTDA.
CARLOS A.WANDERLEY  FILHOS-IMP.EXP.COM.REPR.LTDA.;CARLOS A.WANDERLEY & FILHOS-IMP.EXP.COM.REPR.LTDA.
CARLOS A.WANDERLEY & FILHOS-IMP.EXP.COM.REPR.LTDA.;CARLOS A.WANDERLEY & FILHOS-IMP.EXP.COM.REPR.LTDA.
CARMELO FIOR - CERAMICA CARMELO FIOR LTDA;CARMELO FIOR - CERAMICA CARMELO FIOR LTDA
CARMOCOFFEES;CARMOCOFFEES
CAROLINE MARINI;CAROLINE MARINI
CARPETE LIMPO REPRESENTACOES E SERVICOS - FREDERICO MUNIZ DE ALMEIDA - EPP;CARPETE LIMPO REPRESENTACOES E SERVICOS - FREDERICO MUNIZ DE ALMEIDA - EPP
CARRIER REFRIGERACAO BRASIL LTDA;CARRIER REFRIGERACAO BRASIL LTDA
CARRIER REFRIGERACAO BRASIL LTDA  ;CARRIER REFRIGERACAO BRASIL LTDA  
CARRIER REFRIGERACAO BRASIL LTDA   - CARRIER REFRIGERACAO BRASIL LTDA;CARRIER REFRIGERACAO BRASIL LTDA  
CARVALHÃES PRODUTOS PARA LABORATORIO LTDA;CARVALHÃES PRODUTOS PARA LABORATORIO
CARVOARIA  - CARVOARIA ECOGRILL LTDA;CARVOARIA  - CARVOARIA ECOGRILL LTDA
CAS TECNOL - CAS TECNOLOGIA S.A.;CAS TECNOLOGIA S.A.
CASA DA CRIANCA DR JOAO MOURA ;CASA DA CRIANCA DR JOAO MOURA 
CASA DA MUDANCA LTDA - BRAZIL LINES;CASA DA MUDANCA LTDA - BRAZIL LINES
CASA DOS VENTOS - CASA DOS VENTOS ENERGIAS RENOVÁVEIS S/A;CASA DOS VENTOS ENERGIAS RENOVÁVEIS S/A
CASA GRANADO - CASA GRANADO LABORATORIOS FARMACIAS E DROGARIAS S A;CASA GRANADO
CASA GRANADO - CASA GRANADO LABORATORIOS FARMACIAS E DROGARIAS S.A;CASA GRANADO
CASA GRANDE MINERACAO LTDA;CASA GRANDE MINERACAO LTDA
CASA GRASSI COMERCIAL E IMPORTADORA LTDA;CASA GRASSI COMERCIAL E IMPORTADORA LTDA
CASA TOGINI - CASA TOGNINI MATERIAIS HIDRAULICOS E SANITARIOS LTDA;CASA TOGNINI MATERIAIS HIDRAULICOS E SANITARIOS LTDA
CASALE - CASALE EQUIPAMENTOS LTDA;CASALE EQUIPAMENTOS LTDA
CASEX IND DE PLASTICOS E PROD MEDICOS HOSPITALARES LTDA  ;CASEX IND DE PLASTICOS E PROD MEDICOS HOSPITALARES LTDA  
CASFIL COMERCIAL EXPORTADORA E IMPORTADORA LTDA - CASFIL - COMERCIAL EXPORTADORA E IMPORTADORA LTDA;CASFIL COMERCIAL EXPORTADORA E IMPORTADORA LTDA
CASTERTECH - CASTERTECH FUNDICAO E TECNOLOGIA LTDA;CASTERTECH FUNDICAO E TECNOLOGIA LTDA
CASTERTECH SCHROEDER - CASTERTECH SCHROEDER LTDA;CASTERTECH FUNDICAO E TECNOLOGIA LTDA
CATALENT - CATALENT BRASIL LTDA;CATALENT BRASIL LTDA
CATALENT RELTHY - CATALENT BRASIL LTDA;CATALENT BRASIL LTDA
CATHAY PACIFIC AIRWAYS LTD.;CATHAY PACIFIC AIRWAYS LTD.
CAVALETTI S/A - CADEIRAS PROFISSIONAIS   ;CAVALETTI S/A 
CAVENAGHI IND E C DE EQ ESP LTDA;CAVENAGHI IND E C DE EQ ESP LTDA
CAVENAGHI IND E C DE EQ ESP LTDA - CAVENAGHI INDUSTRIA E COMERCIO DE EQUIPAMENTOS ESPECIAI;CAVENAGHI IND E C DE EQ ESP LTDA
CAVI ABRASIVOS IND COM, IMPRTACAO E EXP LTDA - CAVI ABRASIVOS IND COM IMP E EXP LTDA;CAVI ABRASIVOS IND COM IMP E EXP LTDA
CAVSTEEL WELDING  - CAVSTEEL WELDING LTDA - EPP  ;CAVSTEEL WELDING LTDA - EPP  
CBA - COMPANHIA BRASILEIRA DE ALUMINIO;CBA - COMPANHIA BRASILEIRA DE ALUMINIO
CBA ITAPISSUMA LTDA;CBA ITAPISSUMA LTDA
CCM - BLC INDUSTRIA DE CONFECCOES LTDA;CCM - BLC INDUSTRIA DE CONFECCOES LTDA
CCQM - CCQM - COMERCIAL CATARINENSE QUIMICA E METAIS LTDA   ;CCQM COMERCIAL CATARINENSE QUIMICA E METAIS
CEBRACE - CEBRACE CRISTAL PLANO LTDA;CEBRACE CRISTAL PLANO LTDA
CECAL - CECAL INDUSTRIA E COMERCIO LTDA;CECAL - CECAL INDUSTRIA E COMERCIO LTDA
CECCATO ITALIA C DE S DE LAVAGEM LTDA;CECCATO ITALIA C DE S DE LAVAGEM LTDA
CECRISA - CECRISA REVESTIMENTOS CERAMICOS S.A;CECRISA /CERAMICA URUSSANGA / DURATEX
CEDIFER - CEDIFER COMERCIO E REPRESENTACOES LTDA;CEDIFER COMERCIO
CEDIFER - CEDIFER COMERCIO E REPRESENTAÇÕES LTDA;CEDIFER COMERCIO E REPRESENTAÇÕES LTDA
