RAZAO SOCIAL;Nome para Indicador
ACHE LABORATORIOS FARMACEUTICOS SA;ACHE LABORATORIOS FARMACEUTICOS SA
ACO SOLUCOES EM DRENAGEM LTDA;ACO SOLUCOES EM DRENAGEM LTDA
ACOME DO BRASIL LTDA;ACOME DO BRASIL LTDA
ACQUASOFT TECNOLOGIAS  - ACQUASOFT TECNOLOGIAS E SOLUÇÕES EM TRATAMENTO DE AGUA LTDA;ACQUASOFT TECNOLOGIAS E SOLUÇÕES EM TRATAMENTO DE AGUA LTDA
ACQUASOFT TECNOLOGIAS E SOLUÇÕES EM TRATAMENTO DE AGUA LTDA;ACQUASOFT TECNOLOGIAS E SOLUÇÕES EM TRATAMENTO DE AGUA LTDA
ACRILEX - ACRILEX TINTAS ESPECIAIS S A;ACRILEX
ACRINOR ACRILONITRILA DO NORDESTE S A;ACRINOR ACRILONITRILA DO NORDESTE S A
ACS GLOBAL ASSESSORIA EM LOGISTICA LTDA;ACS GLOBAL ASSESSORIA EM LOGISTICA LTDA
ACSICOMEX - ACSICOMEX - IMPORTACAO E EXPORTACAO LTDA;ACSICOMEX - IMPORTACAO E EXPORTACAO LTDA
ACT INDUSTRIA E COMERCIO LTDA;ACT INDUSTRIA E COMERCIO LTDA
ACTEGA DO BRASIL TINTAS E VERNIZES LTDA.   ;ACTEGA DO BRASIL TINTAS E VERNIZES LTDA
ACTEGA PREMIATA - ACTEGA PREMIATA TINTAS E VERNIZES GRAFICOS LTDA;ACTEGA PREMIATA TINTAS E VERNIZES GRAFICOS LTDA
ACTION - ACTION AGENCIAMENTO DE CARGAS LTDA;ACTION AGENCIAMENTO DE CARGAS LTDA
ACTION - ACTION AGNCIAMENTO DE CARGAS LTDA;ACTION AGENCIAMENTO DE CARGAS LTDA
ADAMA - ADAMA BRASIL S A;ADAMA BRASIL S/A
ADAMA - ADAMA BRASIL S/A;ADAMA BRASIL S/A
ADANTECH - ADANTECH INDUSTRIA E COMÉRCIO DE METAL;ADANTECH INDUSTRIA E COMÉRCIO DE METAL
ADATA ELETRONICS BRAZIL S/A;ADATA ELETRONICS BRAZIL S/A
ADATA INTEGRATION BRAZIL S/A   ;ADATA INTEGRATION BRAZIL S/A   
ADECOL INDUSTRIA QUIMICA LTDA;ADECOL INDUSTRIA QUIMICA LTDA
ADELCO SISTEMAS - ADELCO SISTEMAS DE ENERGIA LTDA;ADELCO SISTEMAS DE ENERGIA LTDA
ADERE - ADERE PRODUTOS AUTO ADESIVOS LTDA;ADERE PRODUTOS AUTO ADESIVOS LTDA
ADESPEC ADESIVOS ESPECIAIS  - ADESPEC ADESIVOS ESPECIAIS S/A;ADESPEC ADESIVOS ESPECIAIS  - ADESPEC ADESIVOS ESPECIAIS S/A
ADEZAN INDUSTRIA DE EMBALAGENS E SERVICOS LTDA;ADEZAN INDUSTRIA DE EMBALAGENS E SERVICOS LTDA
ADIENT - ADIENT DO BRASIL BANCOS AUTOMOTIVOS LTDA;ADIENT 
ADIENT DO BRASIL BANCOS AUTOMOTIVOS LTDA;ADIENT 
ADM DO BRASIL LTDA;ADM DO BRASIL LTDA
ADRIAN D. GARRAMUNO E CIA. LTDA;ADRIAN D. GARRAMUNO E CIA. LTDA
ADT SERVIÇOS DE MONITORAMENTO;ADT SERVIÇOS DE MONITORAMENTO
ADUBOS TREVO - YARA BRASIL FERTILIZANTES S/A;ADUBOS TREVO - YARA BRASIL FERTILIZANTES S/A
ADUKARGO TRANSP. E LOG. E SERV. DE ARMAZ GERAIS LTDA. - ADUKARGO TRANSP. E LOG. E SERV. DE ARMAZ GERAIS LTDA .;ADUKARGO TRANSP. E LOG. E SERV. DE ARMAZ GERAIS LTDA .
ADVANCED MECHATRONICS SOLUTIONS IND E COM DE MAQ E EQUI IND LTDA;ADVANCED MECHATRONICS SOLUTIONS IND E COM DE MAQ E EQUI IND LTDA
ADVANCETEX INTERNATIONAL TECIDOS INDUSTRIAIS LTDA;ADVANCETEX INTERNATIONAL TECIDOS INDUSTRIAIS LTDA
AEB BIOQUÍMICA - AEB BIOQUÍMICA LATINO AMERICANA S/A;AEB BIOQUÍMICA LATINO AMERICANA S/A
AEB BIOQUÍMICA - AEB BIOQUIMICA LATINO AMERICANA SA;AEB BIOQUÍMICA LATINO AMERICANA S/A
AEGEA ENGENHARIA E COMERCIO LTDA;AEGEA ENGENHARIA E COMERCIO LTDA
AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A;AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A
AEROPORTOS BRASIL VIRACOPOS S.A.;AEROPORTOS BRASIL VIRACOPOS
AEROQUIP DO BRASIL LTDA;AEROQUIP DO BRASIL LTDA
AEROVIAS DE MEXICO S/A DE C V AEROMEXICO;AEROVIAS DE MEXICO S/A DE C V AEROMEXICO
AFFINITY LOGISTICA - AFFINITY LOGISTICA INTERNACIONAL LTDA ;AFFINITY LOGISTICA INTERNACIONAL LTDA 
AFYLIFE COMERCIO DE MATERIAL ELETRICO IMP. E EX. LTDA - AFYLIFE COMERCIO DE MATERIAL ELETRICO IMP. E EXP. LTDA;AFYLIFE COMERCIO DE MATERIAL ELETRICO IMP. E EXP. LTDA
AGABE - AGABE TECNOLOGIA INDUSTRIA E COMERCIO LTDA;AGABE TECNOLOGIA INDUSTRIA E COMERCIO LTDA 
AGABE - AGABE TECNOLOGIA INDUSTRIA E COMERCIO LTDA ;AGABE TECNOLOGIA INDUSTRIA E COMERCIO LTDA 
AGAPE DISTRIBUIÇÃO IMP. E EXP DE MARMORES E GRANITOS LTDA;AGABE TECNOLOGIA INDUSTRIA E COMERCIO LTDA 
AGCO - AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA;AGCO DO BRASIL IND E COMERCIO LTDA
AGCO - AGCO DO BRASIL IND E COMERCIO LTDA;AGCO DO BRASIL IND E COMERCIO LTDA
AGCO - AGCO DO BRASIL MAQUINAS E EQUIPAMENTOS AGRICOLAS LTDA;AGCO DO BRASIL IND E COMERCIO LTDA
AGCO DO BASIL SOLUCOES AGRICOLAS LTDA;AGCO DO BRASIL IND E COMERCIO LTDA
AGCO DO BASIL SOLUCOES AGRICOLAS LTDA - AGCO DO BRASIL SOLUCOES AGRICOLAS LTDA.;AGCO DO BRASIL IND E COMERCIO LTDA
AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA   - AGCO DO BRASIL ;AGCO DO BRASIL IND E COMERCIO LTDA
AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA   - AGCO DO BRASIL COMERCIO E INDUSTRIA LTDA;AGCO DO BRASIL IND E COMERCIO LTDA
AGCO DO BRASIL MAQUINAS E EQUIPAMENTOS AGRICOLAS LTDA;AGCO DO BRASIL IND E COMERCIO LTDA
AGCO DO BRASIL MAQUINAS E EQUIPAMENTOS AGRICOLAS LTDA - AGCO DO BRASIL MAQUINAS E EQUIPAMENTOS AGRICOLAS LTDA.;AGCO DO BRASIL IND E COMERCIO LTDA
AGCO DO BRASIL SOLUCOES AGRICOLAS LTDA;AGCO DO BRASIL IND E COMERCIO LTDA
AGCO DO BRASIL SOLUCOES AGRICOLAS LTDA - AGCO DO BRASIL SOLUCOES AGRICOLAS LTDA.;AGCO DO BRASIL IND E COMERCIO LTDA
AGCO DO BRASIL SOLUCOES AGRICOLAS LTDA.;AGCO DO BRASIL IND E COMERCIO LTDA
AGCO DO BRASILl SOLUCOES AGRICOLAS LTDA;AGCO DO BRASIL IND E COMERCIO LTDA
AGCO DO BRASILl SOLUCOES AGRICOLAS LTDA - AGCO DO BRASIL SOLUCOES AGRICOLAS LTDA.;AGCO DO BRASIL IND E COMERCIO LTDA
Age Manager Consultoria Internacional Ltda;Age Manager Consultoria Internacional Ltda
AGENA RESINAS E COLAS LTDA   ;AGENA RESINAS E COLAS LTDA 
AGFA GEVAERT - AGFA GEVAERT DO BRASIL LTDA;AGFA GEVAERT - AGFA GEVAERT DO BRASIL LTDA
AGI BRASIL INDUSTRIA E COMERCIO S.A;AGI BRASIL INDUSTRIA E COMERCIO S.A
